pm10,so2,co,o3,no2,kategori
46,35,11,79,7,SEDANG
72,37,14,105,7,TIDAK SEHAT
65,36,13,95,7,SEDANG
57,35,9,98,7,SEDANG
49,36,6,84,6,SEDANG
54,38,6,95,8,SEDANG
57,39,9,59,7,SEDANG
58,39,8,75,7,SEDANG
58,37,8,86,6,SEDANG
104,35,15,62,9,TIDAK SEHAT
57,35,8,79,7,SEDANG
77,36,13,67,7,SEDANG
55,35,8,96,7,SEDANG
64,36,9,72,7,SEDANG
61,35,16,46,6,SEDANG
61,,7,85,6,SEDANG
51,,6,73,4,SEDANG
40,,4,69,4,SEDANG
57,,7,94,14,SEDANG
73,,15,83,8,SEDANG
82,,18,71,10,SEDANG
84,12,8,70,8,SEDANG
58,12,4,48,5,SEDANG
61,12,13,49,5,SEDANG
23,11,2,43,3,BAIK
18,11,2,51,4,SEDANG
37,11,12,68,7,SEDANG
30,11,6,73,5,SEDANG
22,11,2,49,6,BAIK
35,11,8,69,4,SEDANG
57,11,3,62,5,SEDANG
46,12,3,60,4,SEDANG
51,12,3,85,6,SEDANG
59,11,3,84,6,SEDANG
55,11,5,93,6,SEDANG
118,12,10,93,11,TIDAK SEHAT
98,12,8,92,9,SEDANG
59,11,2,65,7,SEDANG
48,11,,68,6,SEDANG
40,12,2,74,5,SEDANG
43,11,3,87,6,SEDANG
51,12,3,123,5,TIDAK SEHAT
62,12,4,143,7,TIDAK SEHAT
71,12,11,72,10,SEDANG
67,12,10,94,8,SEDANG
56,12,4,97,9,SEDANG
65,12,14,114,13,TIDAK SEHAT
78,12,5,111,10,TIDAK SEHAT
68,12,4,122,15,TIDAK SEHAT
54,12,3,97,10,SEDANG
54,12,4,155,8,TIDAK SEHAT
54,12,,91,6,SEDANG
57,12,,91,7,SEDANG
56,12,,108,8,TIDAK SEHAT
57,12,4,94,8,SEDANG
52,12,4,96,7,SEDANG
48,12,2,94,8,SEDANG
33,12,2,71,3,SEDANG
36,12,1,83,5,SEDANG
53,12,,91,7,SEDANG
45,12,3,75,6,SEDANG
49,12,4,94,6,SEDANG
50,13,3,79,8,SEDANG
55,12,3,104,6,TIDAK SEHAT
69,12,5,94,14,SEDANG
66,12,2,116,9,TIDAK SEHAT
84,12,3,94,9,SEDANG
69,13,,133,9,TIDAK SEHAT
59,12,,88,6,SEDANG
49,12,7,107,10,TIDAK SEHAT
57,12,23,128,11,TIDAK SEHAT
72,13,27,97,14,SEDANG
62,12,14,101,5,TIDAK SEHAT
68,12,17,104,5,TIDAK SEHAT
68,12,21,120,11,TIDAK SEHAT
59,13,15,134,10,TIDAK SEHAT
53,13,12,125,11,TIDAK SEHAT
61,13,12,129,6,TIDAK SEHAT
56,13,10,81,4,SEDANG
53,13,10,79,4,SEDANG
58,13,12,90,5,SEDANG
62,13,20,137,10,TIDAK SEHAT
74,14,17,99,8,SEDANG
57,13,10,71,5,SEDANG
51,13,10,81,5,SEDANG
63,14,15,71,8,SEDANG
62,14,12,64,7,SEDANG
60,13,14,55,6,SEDANG
59,13,14,154,5,TIDAK SEHAT
52,13,13,85,12,SEDANG
58,14,14,82,5,SEDANG
56,13,11,76,8,SEDANG
53,13,10,92,4,SEDANG
83,13,23,74,7,SEDANG
73,14,18,157,7,TIDAK SEHAT
65,14,13,89,6,SEDANG
46,13,14,88,5,SEDANG
68,13,30,74,7,SEDANG
64,14,14,79,7,SEDANG
59,14,14,96,8,SEDANG
49,13,9,69,5,SEDANG
45,13,11,95,5,SEDANG
57,13,13,107,5,TIDAK SEHAT
50,14,10,140,5,TIDAK SEHAT
72,15,20,140,10,TIDAK SEHAT
64,14,20,144,10,TIDAK SEHAT
69,13,20,69,10,SEDANG
52,13,10,76,7,SEDANG
55,14,13,72,8,SEDANG
67,14,13,88,7,SEDANG
57,14,11,121,15,TIDAK SEHAT
63,14,13,100,10,SEDANG
67,14,16,161,7,TIDAK SEHAT
57,14,11,126,8,TIDAK SEHAT
56,13,15,100,8,SEDANG
50,13,12,109,6,TIDAK SEHAT
51,13,17,77,5,SEDANG
41,13,11,51,6,SEDANG
53,14,26,91,8,SEDANG
61,13,18,132,9,TIDAK SEHAT
40,13,14,76,7,SEDANG
53,13,17,67,5,SEDANG
38,13,20,83,7,SEDANG
38,13,16,84,10,SEDANG
42,13,11,108,9,TIDAK SEHAT
53,13,17,77,7,SEDANG
53,13,15,87,8,SEDANG
52,14,15,134,5,TIDAK SEHAT
41,15,11,97,6,SEDANG
50,14,15,74,6,SEDANG
60,14,21,71,10,SEDANG
60,15,14,74,10,SEDANG
47,,13,35,5,BAIK
40,13,11,40,5,BAIK
40,14,9,45,5,BAIK
43,14,11,42,6,BAIK
34,14,14,26,6,BAIK
49,14,12,36,9,BAIK
49,14,16,36,11,BAIK
44,13,20,44,7,BAIK
65,14,23,41,8,SEDANG
54,13,17,47,6,SEDANG
45,14,13,45,11,BAIK
49,14,18,52,9,SEDANG
42,14,11,29,11,BAIK
43,13,11,59,8,SEDANG
41,13,11,46,6,BAIK
56,13,19,39,14,SEDANG
53,13,26,27,9,SEDANG
53,13,16,26,6,SEDANG
43,13,14,119,6,TIDAK SEHAT
48,13,13,50,5,BAIK
58,14,21,48,15,SEDANG
63,14,16,58,7,SEDANG
65,14,14,57,8,SEDANG
53,15,13,32,8,SEDANG
52,14,22,21,7,SEDANG
32,15,16,56,10,SEDANG
36,14,21,34,10,BAIK
56,14,20,31,6,SEDANG
47,14,20,48,12,BAIK
45,14,15,40,6,BAIK
51,14,15,85,12,SEDANG
41,13,15,58,6,SEDANG
41,14,19,99,7,SEDANG
37,14,17,121,12,TIDAK SEHAT
61,16,19,107,9,TIDAK SEHAT
51,15,29,89,10,SEDANG
44,15,17,82,5,SEDANG
38,15,23,63,5,SEDANG
,15,16,53,5,SEDANG
,15,12,134,9,TIDAK SEHAT
,15,11,116,5,TIDAK SEHAT
,15,20,52,8,SEDANG
30,14,10,42,4,BAIK
7,14,10,38,4,BAIK
2,13,6,37,1,BAIK
5,13,6,37,2,BAIK
,13,7,33,,BAIK
,13,5,33,,BAIK
17,13,6,38,2,BAIK
,13,7,33,,BAIK
6,13,19,32,4,BAIK
6,,12,43,3,BAIK
3,,8,43,2,BAIK
19,,13,44,4,BAIK
12,,12,61,3,SEDANG
16,14,13,77,5,SEDANG
10,14,8,77,3,SEDANG
9,15,7,73,4,SEDANG
,14,7,38,2,BAIK
9,14,9,35,2,BAIK
5,14,15,46,3,BAIK
7,14,12,34,4,BAIK
25,14,13,59,3,SEDANG
10,14,11,47,3,BAIK
40,14,20,50,6,BAIK
7,14,14,45,3,BAIK
10,15,8,41,2,BAIK
,15,13,45,7,BAIK
8,14,19,50,10,BAIK
,14,25,53,3,SEDANG
,14,13,52,3,SEDANG
,14,10,46,3,BAIK
,14,10,41,3,BAIK
17,15,12,31,3,BAIK
13,14,9,40,2,BAIK
18,16,9,43,3,BAIK
31,15,11,39,3,BAIK
36,20,22,84,8,SEDANG
52,19,21,81,7,SEDANG
25,17,22,37,6,BAIK
69,27,23,54,5,SEDANG
35,26,7,36,4,BAIK
55,26,7,0,5,SEDANG
51,26,13,87,7,SEDANG
48,27,16,67,9,SEDANG
38,26,10,64,7,SEDANG
32,26,11,67,5,SEDANG
43,28,14,54,5,SEDANG
38,27,10,55,4,SEDANG
59,27,14,48,8,SEDANG
49,27,12,48,7,BAIK
25,26,7,26,5,BAIK
19,27,4,16,3,BAIK
21,27,4,16,3,BAIK
29,27,12,27,4,BAIK
27,0,0,0,0,BAIK
20,27,4,26,3,BAIK
28,27,9,21,3,BAIK
24,27,4,18,3,BAIK
24,27,4,20,3,BAIK
53,28,8,39,5,SEDANG
63,27,9,35,4,SEDANG
34,28,5,34,4,BAIK
33,28,0,29,2,BAIK
25,27,4,30,3,BAIK
0,28,5,30,4,BAIK
51,28,14,40,7,SEDANG
40,28,12,46,4,BAIK
33,28,13,30,8,BAIK
39,28,15,46,3,BAIK
30,28,8,35,5,BAIK
38,28,11,39,6,BAIK
35,28,14,34,4,BAIK
34,28,12,25,5,BAIK
30,28,3,20,3,BAIK
23,28,0,18,2,BAIK
17,28,0,18,2,BAIK
31,28,8,30,4,BAIK
25,29,4,26,5,BAIK
31,29,8,15,3,BAIK
22,28,9,27,3,BAIK
32,29,13,25,5,BAIK
37,28,13,27,6,BAIK
43,29,12,41,6,BAIK
39,29,17,43,5,BAIK
29,29,4,50,6,BAIK
27,29,7,41,6,BAIK
61,29,22,37,7,SEDANG
62,29,15,33,7,SEDANG
78,29,26,27,4,SEDANG
59,29,31,17,5,SEDANG
51,29,24,38,6,SEDANG
53,30,26,101,7,TIDAK SEHAT
54,29,18,114,8,TIDAK SEHAT
62,29,22,63,12,SEDANG
51,29,13,69,7,SEDANG
49,30,12,58,7,SEDANG
36,30,12,69,10,SEDANG
64,30,16,98,11,SEDANG
54,30,14,58,11,SEDANG
64,31,19,71,7,SEDANG
60,30,15,49,9,SEDANG
43,30,13,79,6,SEDANG
60,31,20,60,12,SEDANG
52,30,8,58,7,SEDANG
52,30,11,53,9,SEDANG
40,31,11,82,11,SEDANG
53,31,8,110,24,TIDAK SEHAT
77,31,21,65,18,SEDANG
60,31,8,73,12,SEDANG
75,32,23,57,11,SEDANG
72,32,14,41,13,SEDANG
71,32,8,36,9,SEDANG
47,32,4,27,6,BAIK
51,32,9,64,9,SEDANG
94,32,21,62,23,SEDANG
52,31,12,41,8,SEDANG
49,32,21,38,5,BAIK
28,31,7,23,4,BAIK
46,31,19,40,8,BAIK
41,32,9,44,7,BAIK
56,31,21,34,11,SEDANG
88,32,59,89,15,SEDANG
66,32,13,49,9,SEDANG
66,32,39,47,6,SEDANG
52,32,19,78,20,SEDANG
72,32,20,58,6,SEDANG
57,32,18,52,9,SEDANG
45,32,14,48,6,BAIK
27,33,5,17,5,BAIK
48,32,11,78,6,SEDANG
50,32,17,88,10,SEDANG
33,32,13,61,8,SEDANG
47,32,19,93,9,SEDANG
53,32,30,41,7,SEDANG
23,32,4,18,3,BAIK
28,32,5,25,3,BAIK
20,32,5,20,3,BAIK
30,32,6,19,4,BAIK
52,33,17,97,9,SEDANG
44,33,11,85,8,SEDANG
43,33,8,85,11,SEDANG
53,33,16,51,11,SEDANG
71,33,17,76,4,SEDANG
64,33,28,72,6,SEDANG
83,34,15,62,7,SEDANG
84,33,12,73,12,SEDANG
62,33,14,95,16,SEDANG
65,33,20,76,10,SEDANG
63,33,18,50,9,SEDANG
71,33,22,66,17,SEDANG
55,33,19,63,10,SEDANG
70,34,10,50,13,SEDANG
93,34,18,38,8,SEDANG
57,34,6,36,8,SEDANG
66,34,35,63,10,SEDANG
56,34,14,63,8,SEDANG
54,40,9,28,10,SEDANG
63,43,11,91,10,SEDANG
68,43,11,85,6,SEDANG
62,39,15,85,7,SEDANG
,41,19,,9,BAIK
55,42,13,,10,SEDANG
56,42,12,58,11,SEDANG
48,40,12,,9,BAIK
53,40,15,,9,SEDANG
50,41,17,53,9,SEDANG
69,42,,47,14,SEDANG
80,41,,37,7,SEDANG
82,44,21,78,9,SEDANG
84,42,10,93,10,SEDANG
70,42,11,76,8,SEDANG
71,41,13,67,10,SEDANG
85,46,12,83,10,SEDANG
88,44,12,93,9,SEDANG
102,44,15,,15,TIDAK SEHAT
76,42,8,73,7,SEDANG
83,44,15,77,9,SEDANG
91,44,8,84,10,SEDANG
80,46,10,56,15,SEDANG
65,45,6,56,8,SEDANG
70,44,7,75,11,SEDANG
82,44,9,,9,SEDANG
95,44,7,,7,SEDANG
83,45,9,,8,SEDANG
107,46,,98,18,TIDAK SEHAT
63,46,,62,7,SEDANG
63,43,13,,5,SEDANG
62,48,18,,8,SEDANG
56,45,11,,6,SEDANG
30,41,11,24,6,BAIK
57,43,22,67,9,SEDANG
81,45,23,,9,SEDANG
80,47,27,,13,SEDANG
82,45,21,72,10,SEDANG
53,44,16,65,13,SEDANG
60,48,12,51,7,SEDANG
68,49,15,,10,SEDANG
69,47,16,,11,SEDANG
73,46,16,82,8,SEDANG
80,46,23,,11,SEDANG
67,47,14,45,9,SEDANG
84,46,23,,11,SEDANG
54,44,16,,11,SEDANG
74,47,17,,9,SEDANG
74,47,19,,6,SEDANG
67,48,12,63,7,SEDANG
55,44,20,70,9,SEDANG
65,47,15,81,7,SEDANG
66,49,13,95,8,SEDANG
78,48,20,,8,SEDANG
91,48,23,,8,SEDANG
109,46,25,,6,TIDAK SEHAT
60,46,13,,5,SEDANG
66,47,29,,4,SEDANG
22,44,8,29,3,BAIK
20,44,7,35,3,BAIK
57,44,27,,6,SEDANG
42,44,13,,5,BAIK
28,44,8,36,4,BAIK
41,44,16,41,7,BAIK
54,47,10,39,5,SEDANG
51,46,8,43,5,SEDANG
65,47,12,58,7,SEDANG
70,47,12,72,5,SEDANG
59,49,11,87,7,SEDANG
89,49,19,,8,SEDANG
93,48,31,79,11,SEDANG
62,47,13,65,6,SEDANG
46,47,13,63,10,SEDANG
61,50,18,,15,SEDANG
53,50,11,71,9,SEDANG
57,50,16,,9,SEDANG
78,51,21,80,10,SEDANG
71,49,29,46,7,SEDANG
73,49,32,70,9,SEDANG
70,50,10,83,6,SEDANG
94,51,27,77,13,SEDANG
89,51,20,76,7,SEDANG
76,49,22,86,6,SEDANG
66,48,22,122,12,TIDAK SEHAT
71,50,19,108,6,TIDAK SEHAT
67,49,14,70,6,SEDANG
75,50,21,86,8,SEDANG
71,50,14,,7,SEDANG
70,51,17,59,7,SEDANG
63,50,15,69,7,SEDANG
56,50,13,58,4,SEDANG
50,50,13,48,5,BAIK
64,51,12,,4,SEDANG
56,51,12,58,5,SEDANG
54,51,10,65,4,SEDANG
64,51,11,93,5,SEDANG
79,51,19,79,4,SEDANG
81,51,19,80,4,SEDANG
85,50,20,56,3,SEDANG
,51,19,83,6,SEDANG
,51,24,109,7,TIDAK SEHAT
54,50,14,85,9,SEDANG
59,50,33,83,7,SEDANG
68,51,18,70,4,SEDANG
69,51,15,62,1,SEDANG
80,51,21,94,5,SEDANG
87,50,23,66,,SEDANG
66,51,19,,3,SEDANG
72,51,16,86,3,SEDANG
73,51,13,62,3,SEDANG
60,51,8,56,2,SEDANG
58,50,9,62,,SEDANG
86,51,15,64,,SEDANG
92,51,25,91,,SEDANG
101,52,19,51,,TIDAK SEHAT
61,51,10,50,,SEDANG
64,51,9,52,,SEDANG
71,52,12,48,,SEDANG
77,51,17,41,,SEDANG
66,51,12,39,,SEDANG
77,52,14,103,,TIDAK SEHAT
62,51,13,45,,SEDANG
74,51,13,68,8,SEDANG
64,51,9,62,7,SEDANG
78,51,10,65,11,SEDANG
107,51,19,57,10,TIDAK SEHAT
103,52,18,89,11,TIDAK SEHAT
64,52,9,64,9,SEDANG
66,51,18,55,12,SEDANG
68,51,13,51,11,SEDANG
78,52,11,56,12,SEDANG
72,52,11,61,10,SEDANG
59,52,9,86,8,SEDANG
65,51,14,75,9,SEDANG
91,52,17,67,20,SEDANG
71,53,14,120,11,TIDAK SEHAT
89,53,18,105,11,TIDAK SEHAT
93,52,23,99,11,SEDANG
75,52,16,57,12,SEDANG
60,52,11,56,9,SEDANG
66,52,8,40,10,SEDANG
60,52,7,79,7,SEDANG
58,52,7,83,7,SEDANG
77,54,14,63,21,SEDANG
68,52,15,93,12,SEDANG
81,53,22,75,13,SEDANG
73,54,12,64,9,SEDANG
68,52,15,62,12,SEDANG
75,51,22,47,11,SEDANG
45,51,6,22,6,SEDANG
61,51,29,89,12,SEDANG
69,,13,86,8,SEDANG
54,52,11,43,11,SEDANG
47,,12,61,10,SEDANG
55,52,23,52,9,SEDANG
58,51,28,56,13,SEDANG
56,52,15,72,11,SEDANG
66,52,16,50,9,SEDANG
62,52,8,56,8,SEDANG
71,52,17,76,9,SEDANG
66,52,10,57,9,SEDANG
72,52,17,64,13,SEDANG
58,51,27,82,14,SEDANG
67,52,16,75,22,SEDANG
77,52,16,81,16,SEDANG
55,52,23,72,15,SEDANG
52,53,8,69,10,SEDANG
61,53,5,89,8,SEDANG
44,53,6,55,10,SEDANG
52,52,11,62,10,SEDANG
61,53,9,91,15,SEDANG
57,52,16,86,14,SEDANG
51,52,25,71,13,SEDANG
84,53,42,104,15,TIDAK SEHAT
67,53,13,80,9,SEDANG
66,52,16,78,10,SEDANG
51,52,10,110,8,TIDAK SEHAT
52,52,9,93,10,SEDANG
61,53,9,53,12,SEDANG
56,53,10,77,14,SEDANG
73,52,15,69,11,SEDANG
80,52,29,53,9,SEDANG
74,52,16,52,15,SEDANG
57,52,9,77,12,SEDANG
55,53,6,100,9,SEDANG
83,54,8,98,10,SEDANG
65,53,8,86,15,SEDANG
66,53,4,71,24,SEDANG
72,53,7,63,12,SEDANG
54,53,,,7,SEDANG
51,53,6,,10,SEDANG
57,53,18,49,9,SEDANG
59,53,15,,10,SEDANG
52,53,10,106,11,TIDAK SEHAT
58,53,12,122,12,TIDAK SEHAT
48,52,9,99,9,SEDANG
51,53,13,52,11,SEDANG
54,53,19,89,11,SEDANG
46,53,10,98,20,SEDANG
72,53,11,85,15,SEDANG
51,53,20,126,18,TIDAK SEHAT
55,53,16,55,10,SEDANG
,53,16,80,8,SEDANG
,53,12,79,9,SEDANG
59,54,,97,15,SEDANG
65,53,13,117,10,TIDAK SEHAT
51,53,10,50,8,SEDANG
38,53,6,31,6,SEDANG
40,53,6,24,7,SEDANG
25,53,,24,3,SEDANG
12,52,,17,5,SEDANG
16,53,,17,4,SEDANG
25,53,,28,4,SEDANG
20,27,,24,6,BAIK
16,26,,17,4,BAIK
35,26,8,22,5,BAIK
39,27,,32,5,BAIK
30,27,,22,3,BAIK
37,27,7,50,6,BAIK
43,28,6,86,7,SEDANG
41,31,5,66,8,SEDANG
41,29,,63,6,SEDANG
21,27,,28,5,BAIK
20,27,,17,3,BAIK
31,27,,20,4,BAIK
24,27,12,46,8,BAIK
24,27,,14,7,BAIK
35,28,7,58,13,SEDANG
41,28,7,35,7,BAIK
63,29,14,38,7,SEDANG
31,28,,27,7,BAIK
20,29,,32,7,BAIK
33,29,,38,8,BAIK
39,28,8,33,9,BAIK
35,28,15,34,7,BAIK
25,28,,33,5,BAIK
28,30,,37,4,BAIK
38,30,,43,5,BAIK
30,29,,30,5,BAIK
38,30,,33,4,BAIK
55,30,,27,5,SEDANG
29,30,,48,6,BAIK
72,35,27,77,13,SEDANG
60,34,19,56,9,SEDANG
63,33,25,36,9,SEDANG
0,17,38,54,5,SEDANG
0,17,33,44,3,BAIK
0,16,31,46,4,BAIK
0,16,35,48,5,BAIK
0,17,35,35,7,BAIK
0,17,34,41,6,BAIK
0,17,34,39,5,BAIK
0,17,36,37,6,BAIK
0,16,34,37,7,BAIK
8,14,51,43,17,SEDANG
6,12,43,44,8,BAIK
7,12,43,35,9,BAIK
8,11,27,15,3,BAIK
7,11,23,15,2,BAIK
6,11,25,27,3,BAIK
2,11,27,19,3,BAIK
5,11,0,33,0,BAIK
6,11,25,26,6,BAIK
5,11,24,16,3,BAIK
7,11,24,17,0,BAIK
7,11,25,34,5,BAIK
7,11,35,33,10,BAIK
6,11,36,26,9,BAIK
6,11,30,34,7,BAIK
6,11,28,23,3,BAIK
6,11,28,26,7,BAIK
5,11,29,37,14,BAIK
5,11,28,42,6,BAIK
6,11,29,26,13,BAIK
7,11,28,41,5,BAIK
6,11,26,42,7,BAIK
6,11,29,24,11,BAIK
8,13,27,39,9,BAIK
5,15,30,29,10,BAIK
6,13,28,22,5,BAIK
6,13,26,21,3,BAIK
3,13,26,16,2,BAIK
7,15,34,22,8,BAIK
6,16,30,26,6,BAIK
7,15,32,17,7,BAIK
4,17,31,24,7,BAIK
6,14,36,27,10,BAIK
5,12,34,28,11,BAIK
6,13,36,35,13,BAIK
6,16,47,43,16,BAIK
7,18,36,54,10,SEDANG
4,16,29,32,8,BAIK
5,14,48,32,14,BAIK
7,15,45,28,13,BAIK
0,13,80,24,10,SEDANG
6,14,52,20,10,SEDANG
8,15,70,46,20,SEDANG
7,25,40,56,15,SEDANG
8,15,41,113,16,TIDAK SEHAT
7,14,50,86,15,SEDANG
8,14,43,66,10,SEDANG
6,20,44,53,14,SEDANG
6,13,39,56,8,SEDANG
7,14,46,52,16,SEDANG
6,17,41,39,13,BAIK
9,21,44,57,11,SEDANG
6,16,54,49,15,SEDANG
5,19,43,88,12,SEDANG
6,16,41,56,10,SEDANG
5,18,38,47,11,BAIK
4,18,37,44,15,BAIK
5,15,40,71,16,SEDANG
5,16,34,87,10,SEDANG
6,17,51,58,22,SEDANG
7,17,45,74,18,SEDANG
6,15,48,52,15,SEDANG
5,14,35,53,10,SEDANG
52,28,33,46,9,SEDANG
36,15,34,24,6,BAIK
30,16,31,88,8,SEDANG
61,18,40,99,13,SEDANG
48,14,51,37,22,SEDANG
48,17,46,42,10,BAIK
34,14,0,23,0,BAIK
44,20,0,22,0,BAIK
27,15,40,33,23,BAIK
25,13,46,33,24,BAIK
74,18,93,89,15,SEDANG
54,16,39,43,15,SEDANG
62,16,61,41,11,SEDANG
42,17,39,50,15,BAIK
61,17,68,50,11,SEDANG
49,15,53,46,9,SEDANG
30,15,32,19,7,BAIK
18,16,26,17,5,BAIK
33,16,28,70,9,SEDANG
42,14,45,63,16,SEDANG
24,15,37,53,10,SEDANG
30,14,41,62,12,SEDANG
32,14,38,38,12,BAIK
14,15,26,17,5,BAIK
20,16,,30,,BAIK
17,14,17,17,4,BAIK
21,14,21,31,5,BAIK
50,15,42,44,11,BAIK
45,14,,68,11,SEDANG
34,13,,66,,SEDANG
39,14,47,71,14,SEDANG
53,14,33,65,21,SEDANG
52,16,36,63,11,SEDANG
56,15,53,72,13,SEDANG
66,17,56,89,14,SEDANG
77,18,62,104,22,TIDAK SEHAT
63,18,60,139,16,TIDAK SEHAT
55,17,57,63,16,SEDANG
62,16,38,127,11,TIDAK SEHAT
64,14,57,64,16,SEDANG
45,16,61,93,14,SEDANG
44,17,39,57,9,SEDANG
60,15,70,57,18,SEDANG
32,15,11,57,11,SEDANG
53,16,,78,,SEDANG
51,15,,54,,SEDANG
45,15,1,,7,BAIK
50,16,1,68,9,SEDANG
55,17,1,104,15,TIDAK SEHAT
50,14,1,71,12,SEDANG
59,17,1,102,16,TIDAK SEHAT
52,14,1,96,11,SEDANG
51,16,1,61,13,SEDANG
50,18,1,44,16,BAIK
46,14,1,70,15,SEDANG
52,15,1,63,20,SEDANG
60,16,1,54,20,SEDANG
64,16,8,31,17,SEDANG
66,17,50,90,20,SEDANG
84,18,50,95,19,SEDANG
56,17,39,80,14,SEDANG
58,18,38,76,13,SEDANG
67,20,41,93,14,SEDANG
70,17,41,105,14,TIDAK SEHAT
73,17,46,90,19,SEDANG
52,17,37,124,13,TIDAK SEHAT
69,18,61,126,18,TIDAK SEHAT
70,19,49,85,17,SEDANG
53,16,33,71,11,SEDANG
53,19,36,58,13,SEDANG
52,18,36,109,15,TIDAK SEHAT
61,20,40,96,16,SEDANG
64,16,38,83,17,SEDANG
68,18,46,123,14,TIDAK SEHAT
73,20,44,118,18,TIDAK SEHAT
55,20,33,72,13,SEDANG
55,18,34,40,10,SEDANG
52,22,40,37,15,SEDANG
37,21,31,31,15,BAIK
23,15,29,24,7,BAIK
50,18,43,73,10,SEDANG
59,20,43,85,11,SEDANG
61,16,41,87,14,SEDANG
60,17,45,76,16,SEDANG
36,16,37,76,15,SEDANG
42,22,36,43,14,BAIK
44,24,32,32,16,BAIK
45,22,32,54,16,SEDANG
53,20,38,82,16,SEDANG
58,17,41,67,15,SEDANG
45,17,33,60,10,SEDANG
60,18,46,90,17,SEDANG
48,17,34,61,14,SEDANG
54,20,35,62,13,SEDANG
51,20,38,29,15,SEDANG
44,21,31,65,16,SEDANG
50,16,38,61,14,SEDANG
42,17,35,69,15,SEDANG
48,20,37,90,14,SEDANG
61,20,51,60,15,SEDANG
84,19,73,47,22,SEDANG
70,20,47,54,17,SEDANG
52,18,33,36,9,SEDANG
54,18,56,35,8,SEDANG
15,16,26,35,4,BAIK
13,15,24,44,5,BAIK
39,17,53,45,14,SEDANG
27,16,30,59,10,SEDANG
20,15,25,50,6,BAIK
28,18,42,48,12,BAIK
41,19,28,45,9,BAIK
31,18,28,44,9,BAIK
39,18,31,64,10,SEDANG
51,18,29,86,14,SEDANG
53,17,33,93,15,SEDANG
65,22,45,121,18,TIDAK SEHAT
79,19,70,103,25,TIDAK SEHAT
51,18,33,93,11,SEDANG
29,17,33,58,10,SEDANG
45,,,,,BAIK
38,,,,,BAIK
52,20,39,107,18,TIDAK SEHAT
59,23,39,94,15,SEDANG
67,20,52,46,19,SEDANG
60,20,44,69,19,SEDANG
51,19,35,109,10,TIDAK SEHAT
72,20,48,87,20,SEDANG
69,25,41,153,15,TIDAK SEHAT
57,19,39,86,19,SEDANG
44,16,32,98,12,SEDANG
52,18,39,94,19,SEDANG
50,17,33,77,14,SEDANG
50,16,40,94,16,SEDANG
50,18,35,75,17,SEDANG
48,21,42,60,18,SEDANG
55,19,38,118,15,TIDAK SEHAT
53,19,35,90,12,SEDANG
32,17,31,56,10,SEDANG
42,17,38,88,14,SEDANG
41,17,32,77,9,SEDANG
52,18,34,71,18,SEDANG
34,19,35,57,,SEDANG
36,19,33,107,,TIDAK SEHAT
52,20,35,85,,SEDANG
62,21,37,69,10,SEDANG
61,20,39,60,8,SEDANG
72,22,40,49,11,SEDANG
59,22,38,89,15,SEDANG
63,18,39,97,9,SEDANG
49,17,32,73,9,SEDANG
59,18,31,81,9,SEDANG
61,22,33,63,9,SEDANG
59,18,28,45,7,SEDANG
68,17,35,112,10,TIDAK SEHAT
69,19,38,108,9,TIDAK SEHAT
57,20,34,87,6,SEDANG
47,20,35,98,7,SEDANG
54,23,34,86,7,SEDANG
53,20,31,59,4,SEDANG
47,18,30,88,4,SEDANG
54,22,32,76,8,SEDANG
61,21,42,102,9,TIDAK SEHAT
75,22,42,98,10,SEDANG
61,19,37,60,9,SEDANG
47,19,31,61,4,SEDANG
57,25,37,50,9,SEDANG
58,21,37,42,6,SEDANG
59,20,35,41,7,SEDANG
59,22,36,131,8,TIDAK SEHAT
57,19,34,60,16,SEDANG
54,19,31,64,11,SEDANG
53,19,27,74,6,SEDANG
58,20,29,87,4,SEDANG
66,20,39,73,7,SEDANG
62,20,35,147,7,TIDAK SEHAT
61,19,,75,,SEDANG
54,18,39,62,10,SEDANG
,21,37,45,12,BAIK
57,22,26,64,8,SEDANG
57,23,34,71,10,SEDANG
52,18,27,84,4,SEDANG
53,18,29,95,9,SEDANG
56,17,37,77,8,SEDANG
54,19,30,100,9,SEDANG
,22,36,119,9,TIDAK SEHAT
65,21,31,93,10,SEDANG
61,20,24,73,6,SEDANG
57,19,26,78,8,SEDANG
55,21,25,46,9,SEDANG
52,20,22,77,7,SEDANG
52,18,28,72,8,SEDANG
,18,25,60,11,SEDANG
61,20,26,148,6,TIDAK SEHAT
,21,31,121,11,TIDAK SEHAT
,20,26,86,6,SEDANG
,20,25,85,7,SEDANG
,19,30,52,9,SEDANG
62,18,27,30,6,SEDANG
58,18,52,117,14,TIDAK SEHAT
59,22,39,89,13,SEDANG
48,19,39,61,12,SEDANG
43,18,34,47,4,BAIK
43,18,47,57,13,SEDANG
45,17,43,66,14,SEDANG
53,19,41,78,10,SEDANG
,19,40,56,9,SEDANG
,21,40,51,9,SEDANG
,18,39,99,7,SEDANG
,18,,64,,SEDANG
,18,38,79,6,SEDANG
,18,40,65,11,SEDANG
,19,40,107,8,TIDAK SEHAT
,18,39,103,8,TIDAK SEHAT
,18,39,131,10,TIDAK SEHAT
,18,32,86,5,SEDANG
,20,30,103,4,TIDAK SEHAT
,21,31,54,5,SEDANG
,21,47,88,11,SEDANG
,21,31,123,7,TIDAK SEHAT
,19,44,75,13,SEDANG
,18,43,168,9,TIDAK SEHAT
